,Jugador,Temporada,Dato,Ultimo_club,Nuevo_club,Valor,Coste
21758,3377.0,10/11,01/07/2010,FC Kreuzlingen,Ol. Charleroi,-,?
21759,3377.0,08/09,01/07/2008,Desconocido,FC Kreuzlingen,-,?
21760,3378.0,16/17,08/07/2016,Alagoano,Marítimo,100 miles €,Libre
21761,3378.0,15/16,11/12/2015,Sin equipo,Alagoano,100 miles €,-
21762,3378.0,15/16,26/10/2015,Botafogo,Sin equipo,100 miles €,-
21763,3378.0,15/16,02/07/2015,Ceará SC,Botafogo,100 miles €,Libre
21764,3378.0,14/15,23/01/2015,América-RN,Ceará SC,-,?
21765,3378.0,13/14,01/01/2014,Cruzeiro B,América-RN,-,?
21766,3378.0,13/14,31/12/2013,Ipatinga FC,Cruzeiro B,-,Fin de préstamo
21767,3378.0,12/13,01/06/2013,Cruzeiro B,Betim EC,-,Préstamo
21768,3378.0,12/13,31/05/2013,Linense,Cruzeiro B,-,Fin de préstamo
21769,3378.0,12/13,01/01/2013,Cruzeiro B,Linense,-,Préstamo
21770,3378.0,11/12,31/05/2012,Nacional-MG,Cruzeiro B,-,Fin de préstamo
21771,3378.0,11/12,01/01/2012,Cruzeiro B,Nacional-MG,-,Préstamo
21772,3378.0,11/12,30/11/2011,Boa Esporte,Cruzeiro B,-,Fin de préstamo
21773,3378.0,10/11,01/03/2011,Cruzeiro B,Boa Esporte,-,Préstamo
21774,3378.0,09/10,01/09/2009,Palestra-SP,Cruzeiro B,-,Libre
21775,3378.0,08/09,01/01/2009,Santo André B,Palestra-SP,-,Libre
21776,3379.0,13/14,20/01/2014,Internacional,MarĂ­timo,-,?
21777,3379.0,13/14,01/12/2013,GuaratinguetĂĄ,Internacional,-,Fin de prĂŠstamo
21778,3379.0,12/13,01/05/2013,Internacional,GuaratinguetĂĄ,-,PrĂŠstamo
21779,3379.0,12/13,01/04/2013,CearĂĄ SC,Internacional,-,Fin de prĂŠstamo
21780,3379.0,12/13,01/01/2013,Internacional,CearĂĄ SC,-,PrĂŠstamo
21781,3379.0,12/13,01/12/2012,CriciĂşma EC,Internacional,-,Fin de prĂŠstamo
21782,3379.0,11/12,01/05/2012,Internacional,CriciĂşma EC,250 miles âŹ,PrĂŠstamo
21783,3379.0,11/12,01/01/2012,AtlĂŠtico-PR,Internacional,250 miles âŹ,Libre
21784,3379.0,10/11,01/12/2010,ParanĂĄ,AtlĂŠtico-PR,-,Fin de prĂŠstamo
21785,3379.0,10/11,01/09/2010,AtlĂŠtico-PR,ParanĂĄ,-,PrĂŠstamo
21786,3379.0,08/09,01/04/2009,Paranaense,AtlĂŠtico-PR,-,-
21787,3380.0,13/14,01/07/2013,Marítimo B,Marítimo,100 miles €,-
21788,3380.0,11/12,01/01/2012,Panserraikos,Marítimo B,50 miles €,Libre
21789,3380.0,11/12,01/07/2011,Esp. Lagos,Panserraikos,-,Libre
21790,3380.0,10/11,01/07/2010,Belenenses U19,Esp. Lagos,-,Libre
21791,3380.0,09/10,01/07/2009,AD Oeiras,Belenenses U19,-,Libre
21792,3380.0,08/09,01/07/2008,Odivelas U19,AD Oeiras,-,Libre
21793,3380.0,07/08,01/07/2007,Benfica U17,Odivelas U19,-,Libre
21794,3380.0,06/07,01/07/2006,Benfica Sub-15,Benfica U17,-,-
21795,3380.0,04/05,01/07/2004,Benfica CJ,Benfica Sub-15,-,-
21796,3381.0,14/15,24/01/2015,Cruzeiro,Marítimo,50 miles €,?
21797,3381.0,14/15,30/12/2014,Phuket FC,Cruzeiro,50 miles €,Fin de préstamo
21798,3381.0,13/14,01/01/2014,Cruzeiro,Phuket FC,50 miles €,Préstamo
21799,3381.0,13/14,01/12/2013,Villa Nova AC,Cruzeiro,50 miles €,Fin de préstamo
21800,3381.0,12/13,01/04/2013,Cruzeiro,Villa Nova AC,50 miles €,Préstamo
21801,3381.0,11/12,01/05/2012,Nacional-MG,Cruzeiro,50 miles €,Fin de préstamo
21802,3381.0,11/12,01/01/2012,Cruzeiro,Nacional-MG,50 miles €,Préstamo
21803,3381.0,10/11,01/04/2011,Cruzeiro B,Cruzeiro,-,-
21804,3382.0,16/17,31/01/2017,FC Stumbras,Marítimo,75 miles €,Préstamo
21805,3382.0,15/16,01/03/2016,Berekum Chelsea,FC Stumbras,-,?
21806,3382.0,15/16,06/08/2015,Al-Muharraq,Berekum Chelsea,-,Libre
21807,3382.0,15/16,01/07/2015,Berekum Chelsea,Al-Muharraq,-,?
21808,3382.0,11/12,01/10/2011,Sharjah FC,Berekum Chelsea,-,?
21809,3382.0,10/11,01/03/2011,New Edubiase,Sharjah FC,-,?
21810,3383.0,16/17,06/07/2016,Vitória Setúbal,Marítimo,50 miles €,Libre
21811,3383.0,15/16,01/09/2015,Al-Wahda,Vitória Setúbal,-,Libre
21812,3384.0,15/16,19/07/2015,AOK Kerkyra,Marítimo,800 miles €,Libre
21813,3384.0,14/15,30/01/2015,Olympiacos FC,AOK Kerkyra,"1,00 mill. €",Libre
21814,3384.0,14/15,01/07/2014,Metalurh D.,Olympiacos FC,"1,00 mill. €",Libre
21815,3384.0,13/14,31/12/2013,Shakhter K.,Metalurh D.,"1,00 mill. €",Fin de préstamo
21816,3384.0,13/14,01/07/2013,Metalurh D.,Shakhter K.,"1,00 mill. €",Préstamo
21817,3384.0,11/12,01/07/2011,Pyunik Yerevan,Metalurh D.,300 miles €,Libre
21818,3384.0,07/08,31/12/2007,Banants,Pyunik Yerevan,-,Fin de préstamo
21819,3384.0,06/07,01/01/2007,Pyunik Yerevan,Banants,-,Préstamo
21820,3384.0,05/06,01/01/2006,Pyunik II,Pyunik Yerevan,-,-
21821,3385.0,16/17,01/07/2016,C.R.D. Libolo,Marítimo,750 miles €,?
21822,3385.0,15/16,01/07/2015,Boavista,C.R.D. Libolo,750 miles €,?
21823,3385.0,14/15,01/07/2014,Gil Vicente,Boavista,500 miles €,?
21824,3385.0,12/13,01/07/2012,Torreense,Gil Vicente,-,?
21825,3385.0,11/12,01/07/2011,Sertanense,Torreense,-,?
21826,3385.0,10/11,01/01/2011,Lagoa,Sertanense,-,?
21827,3385.0,09/10,01/07/2009,Barreirense,Lagoa,-,?
21828,3386.0,14/15,01/12/2014,Marítimo B,Marítimo,200 miles €,-
21829,3386.0,14/15,02/07/2014,Braga B,Marítimo B,200 miles €,Libre
21830,3386.0,13/14,30/06/2014,Leixões,Braga B,200 miles €,Fin de préstamo
21831,3386.0,13/14,01/02/2014,Braga B,Leixões,200 miles €,Préstamo
21832,3386.0,13/14,31/01/2014,Feirense,Braga B,200 miles €,Fin de préstamo
21833,3386.0,13/14,01/07/2013,Braga B,Feirense,200 miles €,Préstamo
21834,3386.0,12/13,01/07/2012,Tourizense,Braga B,-,?
